Storage System, Host Connection, Time, Interval (s), Cluster, Volume Group, Read Cache Hits - VCC (%), Read Cache Hits - VC (%), Read Cache Hits - overall (%), Write Cache Hits - VCC (%), Write Cache Hits - VC (%), Write Cache Hits - overall (%), Total Cache Hits - VCC (%), Total Cache Hits - VC (%), Total Cache Hits - overall (%), Disk to Cache Transfer Rate - VCC (ops/s), Disk to Cache Transfer Rate - VC (ops/s), Disk-to-Cache Transfer Rate (ops/s), Cache to Disk Transfer Rate - VCC (ops/s), Cache to Disk Transfer Rate - VC (ops/s), Cache-to-Disk Transfer Rate (ops/s), Read I/O Rate - overall (ops/s), Write I/O Rate - overall (ops/s), Total I/O Rate - overall (ops/s), Read Data Rate (MiB/s), Write Data Rate (MiB/s), Total Data Rate (MiB/s), Read Response Time (ms/op), Write Response Time (ms/op), Overall Response Time (ms/op), Read Transfer Size (KiB/op), Write Transfer Size (KiB/op), Overall Transfer Size (KiB/op), Write-cache Delay Percentage - VCC (%), Write-cache Delay Percentage - VC (%), Global Mirror Write I/O Rate (ops/s), Global Mirror Overlapping Write Percentage (%), Global Mirror Overlapping Write I/O Rate (ops/s), Peak Read Response Time (ms), Peak Write Response Time (ms), Global Mirror Secondary Write Lag (ms/op), Overall Host Attributed Response Time Percentage (%), Non-preferred Node Usage Percentage (%), Write-cache Delay Percentage (%), Write-cache Delay I/O Rate - VCC (ops/s), Write-cache Delay I/O Rate - VC (ops/s), Write-cache Delay I/O Rate (ops/s), Read-ahead Percentage of Cache Hits (%), Dirty Write Percentage of Cache Hits - VCC (%), Dirty Write Percentage of Cache Hits - VC (%), Dirty Write Percentage of Cache Hits (%), Write Cache Overflow Percentage (%), Write Cache Overflow I/O Rate (ops/s), Write Cache Flush-through Percentage - VCC (%), Write Cache Flush-through Percentage - VC (%), Write Cache Flush-through Percentage (%), Write Cache Flush-through I/O Rate - VCC (ops/s), Write Cache Flush-through I/O Rate - VC (ops/s), Write Cache Flush-through I/O Rate (ops/s), Write Cache Write-through Percentage - VCC (%), Write Cache Write-through Percentage - VC (%), Write Cache Write-through Percentage (%), Write Cache Write-through I/O Rate - VCC (ops/s), Write Cache Write-through I/O Rate - VC (ops/s), Write Cache Write-through I/O Rate (ops/s), Read I/O Rate - VC (ops/s), Read I/O Rate - VCC (ops/s), Write I/O Rate - VC (ops/s), Write I/O Rate - VCC (ops/s), Destage I/O Rate - VC (ops/s), Destage I/O Rate - VCC (ops/s), Stage I/O Rate - VC (ops/s), Stage I/O Rate - VCC (ops/s), Prestage I/O Rate - VCC (ops/s), Destage Response Time - VC (ms/op), Destage Response Time - VCC (ms/op), Stage Response Time - VC (ms/op), Stage Response Time - VCC (ms/op), Prestage Response Time - VCC (ms/op), Cache to Host Transfer Response Time (ms/op), Unaligned Write I/O Rate (ops/s), Total I/O Rate - VC (ops/s), Total I/O Rate - VCC (ops/s) 
SVC-2145-CS4SVC1-IBM, pesx_tocbuvfesx003pe, 5/2/18 12:01 PM, 299, , , 26.72, 0.3, 26.95, 100.0, 100.0, 100.0, 84.41, 87.36, 98.03, 10918.42, 7130.32, 18048.74, 39297.42, 49288.87, 88586.29, 204.13, 1636.2, 1840.33, 3.45, 24.05, 27.51, 2.33, 0.33, 0.55, 17.331, 15.052, 15.305, 0.0, 0.0, 302.08, 0.0, 0.0, 251.48, 204.09, 1.14, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 3.55, 18.67, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 222.12, 698.95, 1650.96, 2110.36, 1755.88, 635.76, 466.66, 598.56, 14.54, 1.05, 0.3, 4.85, 5.67, 3.79, 0.16, 304.31, 1873.08, 2809.3 
SVC-2145-CS4SVC1-IBM, pesx_tocbuvfesx002pe, 5/2/18 12:01 PM, 299, , , 26.72, 0.3, 26.95, 100.0, 100.0, 100.0, 84.41, 87.36, 98.03, 10918.42, 7130.32, 18048.74, 39297.42, 49288.87, 88586.29, 204.13, 1636.2, 1840.33, 3.45, 24.05, 27.51, 2.33, 0.33, 0.55, 17.331, 15.052, 15.305, 0.0, 0.0, 302.08, 0.0, 0.0, 251.48, 204.09, 1.14, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 3.55, 18.67, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 222.12, 698.95, 1650.96, 2110.36, 1755.88, 635.76, 466.66, 598.56, 14.54, 1.05, 0.3, 4.85, 5.67, 3.79, 0.16, 304.31, 1873.08, 2809.3 
SVC-2145-CS4SVC1-IBM, pesx_tocbuvfesx001pe, 5/2/18 12:01 PM, 299, , , 26.72, 0.3, 26.95, 100.0, 100.0, 100.0, 84.41, 87.36, 98.03, 10918.42, 7130.32, 18048.74, 39297.42, 49288.87, 88586.29, 204.13, 1636.2, 1840.33, 3.45, 24.05, 27.51, 2.33, 0.33, 0.55, 17.331, 15.052, 15.305, 0.0, 0.0, 302.08, 0.0, 0.0, 251.48, 204.09, 1.14, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 3.55, 18.67, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 222.12, 698.95, 1650.96, 2110.36, 1755.88, 635.76, 466.66, 598.56, 14.54, 1.05, 0.3, 4.85, 5.67, 3.79, 0.16, 304.31, 1873.08, 2809.3 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipddbs01ha, 5/2/18 12:01 PM, 299, , , 74.35, 0.0, 74.35, 100.0, 100.0, 100.0, 86.06, 46.04, 92.48, 4953.89, 4177.45, 9131.34, 3934.65, 3564.41, 7499.06, 22.14, 34.19, 56.33, 2.04, 1.74, 3.78, 0.81, 0.26, 0.48, 94.341, 52.123, 68.717, 0.0, 0.0, 0.0, 0.0, 0.0, 41.53, 22.29, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 92.1, 5.72, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 22.14, 71.96, 34.19, 73.91, 40.12, 4.61, 2.66, 2.13, 0.05, 0.23, 0.38, 0.3, 1.9, 2.31, 0.07, 1.27, 56.33, 145.86 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipddbs02ha, 5/2/18 12:01 PM, 299, , , 34.87, 0.0, 34.87, 100.0, 100.0, 100.0, 94.37, 91.97, 99.54, 33.04, 28.88, 61.91, 24.01, 331.16, 355.16, 2.24, 13.64, 15.88, 0.01, 0.16, 0.18, 1.41, 0.19, 0.36, 6.457, 12.138, 11.337, 0.0, 0.0, 0.0, 0.0, 0.0, 58.74, 11.91, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 4.4, 19.38, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 2.23, 3.19, 13.64, 16.38, 9.29, 3.46, 1.83, 1.09, 0.03, 0.69, 0.24, 0.34, 3.67, 0.8, 0.08, 1.27, 15.87, 19.58 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdgwys01, 5/2/18 12:01 PM, 299, , , 60.82, 0.0, 60.82, 100.0, 100.0, 100.0, 79.63, 11.83, 82.04, 35.74, 544.7, 580.43, 29.32, 73.15, 102.47, 3.4, 7.49, 10.9, 0.27, 0.04, 0.3, 1.25, 0.35, 0.63, 79.993, 4.88, 28.35, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 20.32, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.89, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 3.4, 5.09, 7.49, 7.62, 23.09, 2.69, 4.93, 2.21, 0.05, 0.6, 0.24, 0.54, 4.5, 1.07, 0.18, 0.0, 10.9, 12.7 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdmqs01ha, 5/2/18 12:01 PM, 299, , , 26.7, 0.0, 26.7, 100.0, 100.0, 100.0, 89.48, 91.81, 99.13, 32.11, 23.32, 55.43, 187.99, 261.62, 449.61, 1.54, 11.43, 12.97, 0.01, 0.13, 0.14, 2.27, 0.29, 0.53, 7.597, 11.438, 10.984, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 21.3, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.53, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 1.54, 3.63, 11.44, 13.57, 22.4, 3.98, 2.01, 2.61, 0.05, 0.4, 0.29, 1.22, 2.81, 1.21, 0.14, 1.27, 12.97, 17.2 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdmqs02ha, 5/2/18 12:01 PM, 299, , , 49.6, 0.0, 49.6, 100.0, 100.0, 100.0, 92.58, 90.95, 99.32, 20.31, 23.24, 43.55, 193.69, 233.55, 427.24, 1.53, 9.99, 11.52, 0.01, 0.11, 0.13, 2.27, 0.28, 0.54, 7.621, 11.688, 11.149, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 7.94, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.77, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 1.53, 3.41, 9.99, 11.9, 10.22, 4.22, 1.5, 1.76, 0.0, 0.75, 0.28, 1.4, 3.82, 0.0, 0.16, 1.27, 11.52, 15.31 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdwass01, 5/2/18 12:01 PM, 299, , , 62.86, 0.0, 62.86, 100.0, 100.0, 100.0, 87.75, 22.56, 90.52, 43.92, 676.32, 720.24, 40.45, 197.14, 237.59, 4.19, 11.63, 15.81, 0.33, 0.1, 0.43, 1.19, 0.28, 0.52, 80.76, 8.478, 27.618, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 18.23, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.05, 75.96, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 4.19, 6.08, 11.63, 12.79, 19.76, 3.84, 5.9, 2.33, 0.04, 0.65, 0.25, 0.5, 3.96, 1.85, 0.17, 0.0, 15.82, 18.87 
SVC-2145-CS4SVC1-IBM, vaix_cs4cchkgpfss1, 5/2/18 12:01 PM, 299, , , 42.26, 0.0, 42.26, 100.0, 100.0, 100.0, 63.23, 38.79, 77.49, 1202.48, 880.9, 2083.37, 116.39, 558.34, 674.73, 102.46, 26.63, 129.08, 0.43, 0.27, 0.7, 1.0, 0.28, 0.85, 4.295, 10.485, 5.571, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 6.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.73, 31.0, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 102.57, 109.36, 26.63, 31.38, 43.1, 12.92, 86.28, 55.32, 5.99, 0.48, 0.26, 1.2, 2.02, 2.13, 0.05, 0.0, 129.2, 140.74 
