Storage System, MDisk, Time, Interval (s), Pool, RAID Level, Class, Back-end Read I/O Rate (ops/s), Back-end Write I/O Rate (ops/s), Total Back-end I/O Rate (ops/s), Back-end Read Data Rate (MiB/s), Back-end Write Data Rate (MiB/s), Total Back-end Data Rate (MiB/s), Back-end Read Response Time (ms/op), Back-end Write Response Time (ms/op), Overall Back-end Response Time (ms/op), Back-end Read Queue Time (ms/op), Back-end Write Queue Time (ms/op), Overall Back-end Queue Time (ms/op), Back-end Read Transfer Size (KiB/op), Back-end Write Transfer Size (KiB/op), Overall Back-end Transfer Size (KiB/op), Peak Back-end Write Response Time (ms), Peak Back-end Read Response Time (ms), Peak Back-end Read Queue Time (ms), Peak Back-end Write Queue Time (ms), Destage Target I/O (cnt), Destage In-flight I/O (cnt) 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0000, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 23.99, 14.78, 38.77, 0.29, 0.45, 0.74, 5.406, 0.276, 3.451, 0.011, 0.01, 0.011, 12.33, 31.358, 19.583, 10.076, 366.238, 0.012, 0.018, 13.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0100, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 33.26, 17.89, 51.15, 0.66, 0.52, 1.18, 4.525, 0.277, 3.04, 0.01, 0.01, 0.01, 20.233, 29.674, 23.534, 24.907, 190.466, 0.047, 0.015, 14.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0001, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 29.55, 14.36, 43.91, 0.59, 0.5, 1.09, 3.605, 0.29, 2.521, 0.014, 0.014, 0.014, 20.524, 35.496, 25.42, 17.823, 254.889, 0.0090, 0.822, 15.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0002, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 40.7, 22.79, 63.48, 0.67, 1.33, 2.0, 3.789, 0.337, 2.55, 0.012, 0.012, 0.012, 16.772, 59.74, 32.196, 8.247, 354.966, 0.01, 0.05, 14.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0003, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 41.45, 12.81, 54.26, 0.45, 0.34, 0.78, 3.492, 0.261, 2.729, 0.01, 0.01, 0.01, 11.078, 26.857, 14.804, 17.92, 279.477, 0.01, 0.048, 13.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0004, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 29.79, 35.73, 65.52, 0.38, 2.03, 2.42, 4.125, 0.337, 2.059, 0.01, 0.0090, 0.0090, 13.222, 58.321, 37.817, 7.485, 354.559, 0.0070, 0.0080, 14.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T15_0101, 5/2/18 12:01 PM, 299, Tier15_CS4DS8870A_A_TP, Unknown, Unknown, 62.58, 43.72, 106.3, 2.43, 4.05, 6.48, 2.828, 0.428, 1.841, 0.011, 0.012, 0.012, 39.741, 94.963, 62.452, 42.576, 141.82, 0.017, 0.55, 15.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0400, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 542.69, 192.48, 735.17, 29.06, 7.81, 36.87, 1.681, 0.284, 1.315, 0.015, 0.011, 0.014, 54.828, 41.544, 51.35, 219.686, 327.568, 0.0090, 0.016, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0401, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 441.38, 166.24, 607.62, 35.72, 8.83, 44.55, 1.495, 0.309, 1.17, 0.016, 0.0090, 0.014, 82.867, 54.403, 75.08, 30.952, 629.947, 0.013, 0.061, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0402, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 404.87, 136.05, 540.93, 28.86, 4.44, 33.3, 1.638, 0.272, 1.294, 0.013, 0.0090, 0.012, 72.992, 33.438, 63.044, 61.993, 515.139, 0.087, 0.81, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0500, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 409.27, 137.07, 546.34, 27.0, 5.1, 32.1, 1.466, 0.275, 1.167, 0.034, 0.015, 0.029, 67.555, 38.076, 60.159, 59.57, 100.468, 0.015, 0.022, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0501, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 469.48, 162.8, 632.28, 37.77, 10.11, 47.87, 1.29, 0.334, 1.043, 0.015, 0.014, 0.015, 82.371, 63.57, 77.53, 13.178, 248.198, 0.013, 0.013, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0404, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 198.31, 113.89, 312.2, 8.93, 4.0, 12.93, 1.935, 0.279, 1.331, 0.014, 0.01, 0.013, 46.107, 36.003, 42.421, 134.188, 531.044, 0.015, 0.569, 12.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0504, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 400.94, 112.93, 513.88, 32.64, 4.7, 37.34, 1.37, 0.292, 1.133, 0.028, 0.011, 0.024, 83.361, 42.652, 74.414, 2.895, 176.263, 0.029, 4.899, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0502, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 361.71, 108.92, 470.63, 24.84, 6.33, 31.16, 1.705, 0.325, 1.386, 0.011, 0.012, 0.011, 70.31, 59.483, 67.804, 10.268, 162.1, 0.018, 0.019, 13.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0405, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 307.71, 131.06, 438.77, 20.64, 5.11, 25.75, 1.598, 0.282, 1.205, 0.233, 0.023, 0.17, 68.677, 39.935, 60.092, 27.208, 509.47, 0.025, 109.084, 15.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0505, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 435.48, 133.04, 568.52, 32.35, 3.32, 35.67, 1.322, 0.246, 1.07, 0.013, 0.0090, 0.012, 76.07, 25.532, 64.243, 49.97, 91.922, 0.03, 0.01, 16.0, 2.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_T1__0403, 5/2/18 12:01 PM, 299, Tier1_CS4DS8870A_A_TP, raid5, Unknown, 345.29, 114.86, 460.15, 32.05, 4.29, 36.35, 1.27, 0.278, 1.022, 0.01, 0.01, 0.01, 95.058, 38.277, 80.885, 24.331, 511.813, 0.01, 0.994, 17.0, 2.0 
