Storage System, Port, Time, Interval (s), WWPN, Speed (Gbps), SVC Port ID, Port Send Data Rate (MiB/s), Port Receive Data Rate (MiB/s), Port Send I/O Rate (ops/s), Port Receive I/O Rate (ops/s), Total Port I/O Rate (ops/s), Total Port Data Rate (MiB/s), Port to Host Send I/O Rate (ops/s), Port to Host Receive I/O Rate (ops/s), Total Port to Host I/O Rate (ops/s), Port to Disk Send I/O Rate (ops/s), Port to Disk Receive I/O Rate (ops/s), Total Port to Disk I/O Rate (ops/s), Port to Local Node Send I/O Rate (ops/s), Port to Local Node Receive I/O Rate (ops/s), Total Port to Local Node I/O Rate (ops/s), Port to Remote Node Send I/O Rate (ops/s), Port to Remote Node Receive I/O Rate (ops/s), Total Port to Remote Node I/O Rate (ops/s), Port to Host Send Data Rate (MiB/s), Port to Host Receive Data Rate (MiB/s), Total Port to Host Data Rate (MiB/s), Port to Disk Send Data Rate (MiB/s), Port to Disk Receive Data Rate (MiB/s), Total Port to Disk Data Rate (MiB/s), Port to Local Node Send Data Rate (MiB/s), Port to Local Node Receive Data Rate (MiB/s), Total Port to Local Node Data Rate (MiB/s), Port to Remote Node Send Data Rate (MiB/s), Port to Remote Node Receive Data Rate (MiB/s), Total Port to Remote Node Data Rate (MiB/s), Link Failure Rate (cnt/s), Port Send Bandwidth Percentage (%), Port Receive Bandwidth Percentage (%), Overall Port Bandwidth Percentage (%), Loss of Sync Rate (cnt/s), Loss of Signal Rate (cnt/s), CRC Error Rate (cnt/s), Primitive Sequence Protocol Error Rate (cnt/s), Invalid Transmission Word Rate (cnt/s), Zero Buffer Credit Timer (us), Port Congestion Index (cnt), Invalid Link Transmission Rate (cnt/s), Zero Buffer Credit Percentage (%) 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 1, 5/2/18 12:01 PM, 299, 500507680C11020F, 8, 0, 26.74, 23.87, 335.25, 670.34, 1005.59, 50.61, 0.0, 670.34, 670.34, 335.25, 0.0, 335.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.26, 15.76, 35.02, 7.47, 8.11, 15.59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.26, 2.91, 3.08, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 2, 5/2/18 12:01 PM, 299, 500507680C12020F, 8, 1, 27.24, 23.99, 679.27, 1023.03, 1702.3, 51.24, 0.0, 673.64, 673.64, 335.34, 0.0, 335.34, 0.0, 0.0, 0.0, 343.93, 349.39, 693.32, 19.74, 15.54, 35.28, 7.48, 8.09, 15.58, 0.0, 0.0, 0.0, 0.02, 0.36, 0.38, 0.0, 3.33, 2.93, 3.13, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 3, 5/2/18 12:01 PM, 299, 500507680C13020F, 8, 2, 0.03, 0.37, 356.12, 357.14, 713.26, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.03, 0.1, 356.05, 357.11, 713.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.37, 0.39, 0.0, 0.0, 0.04, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 4, 5/2/18 12:01 PM, 299, 500507680C14020F, 8, 3, 9.77, 6.09, 2826.23, 2887.54, 5713.76, 15.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2826.23, 2887.54, 5713.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.77, 6.09, 15.86, 0.0, 0.0, 0.0, 0.0, 1.19, 0.74, 0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 5, 5/2/18 12:01 PM, 299, 500507680C21020F, 8, 4, 0.04, 0.33, 0.0, 16.71, 16.71, 0.37, 0.0, 16.71, 16.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.33, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 6, 5/2/18 12:01 PM, 299, 500507680C22020F, 8, 5, 7.41, 8.45, 335.33, 16.47, 351.81, 15.87, 0.0, 16.47, 16.47, 335.33, 0.0, 335.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.34, 0.37, 7.38, 8.11, 15.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 1.03, 0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 7, 5/2/18 12:01 PM, 299, 500507680C23020F, 8, 6, 9.49, 5.78, 2749.28, 7292.49, 10041.77, 15.27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2749.28, 7292.49, 10041.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.49, 5.78, 15.27, 0.0, 0.0, 0.0, 0.0, 1.16, 0.71, 0.93, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 8, 5/2/18 12:01 PM, 299, 500507680C24020F, 8, 7, 0.03, 0.37, 421.93, 418.78, 840.71, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 421.93, 418.78, 840.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.37, 0.4, 0.0, 0.0, 0.05, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 9, 5/2/18 12:01 PM, 299, 500507680C51020F, 8, 8, 21.65, 10.92, 690.97, 673.28, 1364.24, 32.57, 0.0, 316.59, 316.59, 335.33, 0.0, 335.33, 0.0, 0.0, 0.0, 355.64, 356.69, 712.32, 14.16, 2.45, 16.61, 7.46, 8.11, 15.57, 0.0, 0.0, 0.0, 0.03, 0.37, 0.4, 0.0, 2.64, 1.33, 1.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
SVC-2145-CS4SVC1-IBM, CS4SVC1_N1 Port 10, 5/2/18 12:01 PM, 299, 500507680C52020F, 8, 9, 14.09, 2.38, 0.0, 317.19, 317.19, 16.47, 0.0, 317.19, 317.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.09, 2.38, 16.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.72, 0.29, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
